"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M5DN Extra Large","m5dn.xlarge","16.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.272000 hourly","$0.171000 hourly","$0.332 hourly","$0.231 hourly","unavailable","unavailable","$0.456000 hourly","$0.355000 hourly","$0.524 hourly","$0.423 hourly","$0.936 hourly","$0.835 hourly","$1.956 hourly","$1.855 hourly","$0.34 hourly","$0.239 hourly","$0.752 hourly","$0.651 hourly","$1.772 hourly","$1.671 hourly","0","unavailable"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.344000 hourly","$0.217000 hourly","$0.474 hourly","$0.347 hourly","$0.494 hourly","$0.277 hourly","$0.712000 hourly","$0.585000 hourly","$0.847 hourly","$0.72 hourly","$1.672 hourly","$1.545 hourly","$3.712 hourly","$3.585 hourly","$0.479 hourly","$0.352 hourly","$1.304 hourly","$1.177 hourly","$3.344 hourly","$3.217 hourly","0","$0.086 hourly"
"R5B Extra Large","r5b.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","10000.0 Mbps","1250.0 Mbps","43333.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.298000 hourly","$0.187740 hourly","$0.358 hourly","$0.24774 hourly","$0.423 hourly","$0.23774 hourly","$0.482000 hourly","$0.371740 hourly","$0.5496 hourly","$0.43934 hourly","$0.962 hourly","$0.85174 hourly","$1.982 hourly","$1.87174 hourly","$0.3656 hourly","$0.25534 hourly","$0.778 hourly","$0.66774 hourly","$1.798 hourly","$1.68774 hourly","0","unavailable"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","50 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","$3.576000 hourly","$2.253000 hourly","$3.706 hourly","$2.383 hourly","unavailable","unavailable","$5.784000 hourly","$4.461000 hourly","$6.595 hourly","$5.272 hourly","$11.544 hourly","$10.221 hourly","$23.784 hourly","$22.461 hourly","$4.387 hourly","$3.064 hourly","$9.336 hourly","$8.013 hourly","$21.576 hourly","$20.253 hourly","0","unavailable"
"R5AD Extra Large","r5ad.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.262000 hourly","$0.165000 hourly","$0.322 hourly","$0.225 hourly","$0.387 hourly","$0.215 hourly","$0.446000 hourly","$0.349000 hourly","$0.514 hourly","$0.417 hourly","$0.926 hourly","$0.829 hourly","$1.946 hourly","$1.849 hourly","$0.33 hourly","$0.233 hourly","$0.742 hourly","$0.645 hourly","$1.762 hourly","$1.665 hourly","0","unavailable"
"R5N Extra Large","r5n.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.298000 hourly","$0.188000 hourly","$0.358 hourly","$0.248 hourly","unavailable","unavailable","$0.482000 hourly","$0.372000 hourly","$0.55 hourly","$0.439 hourly","$0.962 hourly","$0.852 hourly","$1.982 hourly","$1.872 hourly","$0.366 hourly","$0.255 hourly","$0.778 hourly","$0.668 hourly","$1.798 hourly","$1.688 hourly","0","unavailable"
"R5DN Extra Large","r5dn.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","$0.334000 hourly","$0.210000 hourly","$0.394 hourly","$0.27 hourly","unavailable","unavailable","$0.518000 hourly","$0.394000 hourly","$0.586 hourly","$0.462 hourly","$0.998 hourly","$0.874 hourly","$2.018 hourly","$1.894 hourly","$0.402 hourly","$0.278 hourly","$0.814 hourly","$0.69 hourly","$1.834 hourly","$1.71 hourly","0","unavailable"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","800 GiB               SSD","Yes","Yes","64-bit","Moderate","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.853000 hourly","$0.424000 hourly","$0.913 hourly","$0.484 hourly","$0.953 hourly","$0.46 hourly","$0.973000 hourly","$0.565000 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.921 hourly","$0.449 hourly","$1.333 hourly","$0.861 hourly","$2.353 hourly","$1.881 hourly","$0.02 hourly","$0.213 hourly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","75 Gigabit","13600.0 Mbps","1700.0 Mbps","60000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","$3.808000 hourly","$2.399000 hourly","$3.938 hourly","$2.529 hourly","unavailable","unavailable","$6.752000 hourly","$5.343000 hourly","$7.834 hourly","$6.425 hourly","$14.432 hourly","$13.023 hourly","$30.752 hourly","$29.343 hourly","$4.89 hourly","$3.481 hourly","$11.488 hourly","$10.079 hourly","$27.808 hourly","$26.399 hourly","0","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.011600 hourly","$0.007200 hourly","$0.0716 hourly","$0.0672 hourly","$0.0216 hourly","$0.0162 hourly","$0.016200 hourly","$0.011800 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","116 units","36 vCPUs","0","None","0 GiB","0","0","3.222 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","48000 GiB               (24 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 Mbps","32000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$5.520000 hourly","$3.216000 hourly","$5.65 hourly","$3.346 hourly","$5.62 hourly","$3.253 hourly","$6.198000 hourly","$3.300000 hourly","unavailable","unavailable","unavailable","unavailable","$20.676 hourly","$18.375 hourly","unavailable","unavailable","unavailable","unavailable","$19.02 hourly","$16.398 hourly","$0.00 hourly","$0.270 hourly"
"INF1 Extra Large","inf1.xlarge","8.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","40","4","No","Yes","Yes","No","Unknown","No","$0.368000 hourly","$0.232000 hourly","$0.428 hourly","$0.292 hourly","$0.493 hourly","$0.282 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.436 hourly","$0.299 hourly","$0.848 hourly","$0.712 hourly","$1.868 hourly","$1.732 hourly","0","unavailable"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$3.686400 hourly","$2.322400 hourly","$3.8164 hourly","$2.4524 hourly","$3.8364 hourly","$2.3824 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","179 units","64 vCPUs","0","None","0 GiB","0","0","2.797 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","unknown","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 Mbps","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$13.344000 hourly","$8.223000 hourly","$13.474 hourly","$8.353 hourly","$13.444 hourly","$8.256 hourly","$16.288000 hourly","$11.167000 hourly","$17.37 hourly","$12.249 hourly","$23.968 hourly","$18.847 hourly","$40.288 hourly","$35.167 hourly","$14.426 hourly","$9.305 hourly","$21.024 hourly","$15.903 hourly","$37.344 hourly","$32.223 hourly","0","unavailable"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","0 units","96 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","$7.152000 hourly","$4.506000 hourly","$7.282 hourly","$4.636 hourly","unavailable","unavailable","$11.568000 hourly","$8.922000 hourly","$13.19 hourly","$10.544 hourly","$23.088 hourly","$20.442 hourly","$47.568 hourly","$44.922 hourly","$8.774 hourly","$6.128 hourly","$18.672 hourly","$16.026 hourly","$43.152 hourly","$40.506 hourly","0","unavailable"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","104 units","32 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","6400 GiB               (8 * 800 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 Mbps","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$6.820000 hourly","$3.392000 hourly","$6.95 hourly","$3.522 hourly","$6.92 hourly","$3.428 hourly","$7.782000 hourly","$4.521000 hourly","$7.942 hourly","$4.623 hourly","$9.836 hourly","$6.142 hourly","$20.292 hourly","$16.87 hourly","$7.365 hourly","$3.588 hourly","$10.664 hourly","$6.888 hourly","$18.824 hourly","$15.048 hourly","unavailable","$0.270 hourly"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.808000 hourly","$1.139000 hourly","$1.938 hourly","$1.269 hourly","$1.958 hourly","$1.199 hourly","$3.280000 hourly","$2.611000 hourly","$3.821 hourly","$3.152 hourly","$7.12 hourly","$6.451 hourly","$15.28 hourly","$14.611 hourly","$2.349 hourly","$1.68 hourly","$5.648 hourly","$4.979 hourly","$13.808 hourly","$13.139 hourly","0","unavailable"
"R6G Medium","r6g.medium","8.0 GiB","0 units","1 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","$0.050400 hourly","$0.031800 hourly","$0.1104 hourly","$0.0918 hourly","$0.0814 hourly","$0.0448 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","14250.0 Mbps","1781.25 Mbps","50000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$2.419200 hourly","$1.524100 hourly","$2.5492 hourly","$1.6541 hourly","$2.5692 hourly","$1.5841 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Metal","a1.metal","32.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$0.408000 hourly","$0.257000 hourly","$0.538 hourly","$0.387 hourly","$0.558 hourly","$0.317 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T4G Micro","t4g.micro","1.0 GiB","0 units","2 vCPUs                                                   for a                 2h 24m                 burst","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2606.0 Mbps","325.75 Mbps","11800.0 IOPS","Yes","4","2","No","Yes","Yes","No","Unknown","No","$0.008400 hourly","$0.005300 hourly","$0.0684 hourly","$0.0653 hourly","$0.0084 hourly","$0.0093 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5B Large","r5b.large","16.0 GiB","0 units","2 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","10000.0 Mbps","1250.0 Mbps","43333.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","$0.149000 hourly","$0.093870 hourly","$0.209 hourly","$0.15387 hourly","$0.212 hourly","$0.11887 hourly","$0.241000 hourly","$0.185870 hourly","$0.3086 hourly","$0.25347 hourly","$0.721 hourly","$0.66587 hourly","$1.741 hourly","$1.68587 hourly","$0.2166 hourly","$0.16147 hourly","$0.629 hourly","$0.57387 hourly","$1.649 hourly","$1.59387 hourly","0","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","27 units","8 vCPUs","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","1600 GiB               (2 * 800 GiB SSD)","Yes","Yes","64-bit","High","1000.0 Mbps","125.0 Mbps","8000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$1.705000 hourly","$0.848000 hourly","$1.835 hourly","$0.978 hourly","$1.805 hourly","$0.884 hourly","$1.946000 hourly","$1.131000 hourly","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$5.073 hourly","$4.218 hourly","$1.841 hourly","$0.897 hourly","$2.666 hourly","$1.722 hourly","$4.706 hourly","$3.762 hourly","$0.05 hourly","$0.270 hourly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.172000 hourly","$0.108000 hourly","$0.232 hourly","$0.168 hourly","$0.297 hourly","$0.158 hourly","$0.356000 hourly","$0.292000 hourly","$0.424 hourly","$0.36 hourly","$0.836 hourly","$0.772 hourly","$1.856 hourly","$1.792 hourly","$0.24 hourly","$0.176 hourly","$0.652 hourly","$0.588 hourly","$1.672 hourly","$1.608 hourly","0","$0.043 hourly"
"P3 Double Extra Large","p3.2xlarge","61.0 GiB","31 units","8 vCPUs","1","NVIDIA Tesla V100","16 GiB","7.0","0","3.875 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 Mbps","10000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$3.060000 hourly","$2.088000 hourly","$3.19 hourly","$2.218 hourly","$3.16 hourly","$2.121 hourly","$3.428000 hourly","$2.456000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","50 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1.382400 hourly","$0.872510 hourly","$1.5124 hourly","$1.00251 hourly","$1.5324 hourly","$0.93251 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","0 units","8 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$0.272000 hourly","$0.171400 hourly","$0.402 hourly","$0.3014 hourly","$0.422 hourly","$0.2314 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","Base performance:                 136%","8 vCPUs                                                   for a                 4h 4.8m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","$0.371200 hourly","$0.230000 hourly","$0.5012 hourly","$0.36 hourly","$0.4712 hourly","$0.263 hourly","$0.433200 hourly","$0.292000 hourly","$0.5742 hourly","$0.433 hourly","unavailable","unavailable","$3.4332 hourly","$3.292 hourly","$0.5064 hourly","$0.3652 hourly","unavailable","unavailable","$3.3712 hourly","$3.23 hourly","unavailable","unavailable"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","97 units","32 vCPUs","0","None","0 GiB","0","0","3.031 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","8000 GiB               (4 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 Mbps","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.872000 hourly","$1.272000 hourly","$2.002 hourly","$1.402 hourly","$1.972 hourly","$1.305 hourly","$3.344000 hourly","$2.744000 hourly","$3.885 hourly","$3.285 hourly","$7.184 hourly","$6.584 hourly","$15.344 hourly","$14.744 hourly","$2.413 hourly","$1.813 hourly","$5.712 hourly","$5.112 hourly","$13.872 hourly","$13.272 hourly","0","$0.270 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","97 units","32 vCPUs","0","None","0 GiB","0","0","3.031 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 Mbps","37500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.128000 hourly","$1.344000 hourly","$2.258 hourly","$1.474 hourly","$2.228 hourly","$1.377 hourly","$3.600000 hourly","$2.816000 hourly","$4.164 hourly","$3.38 hourly","$7.44 hourly","$6.656 hourly","$15.6 hourly","$14.816 hourly","$2.6688 hourly","$1.8848 hourly","$5.968 hourly","$5.184 hourly","$14.128 hourly","$13.344 hourly","0","$0.270 hourly"
"T2 Large","t2.large","8.0 GiB","Base performance:                 60%","2 vCPUs                                                   for a                 7h 12m                 burst","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","36","3","No","Yes","Yes","No","HVM","No","$0.092800 hourly","$0.057500 hourly","$0.1528 hourly","$0.1175 hourly","$0.1928 hourly","$0.0905 hourly","$0.120800 hourly","$0.085500 hourly","$0.1918 hourly","$0.1565 hourly","unavailable","unavailable","unavailable","unavailable","$0.1604 hourly","$0.1251 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","174.5 units","64 vCPUs","0","None","0 GiB","0","0","2.727 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","Yes","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 Mbps","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$6.669000 hourly","$4.110000 hourly","$6.799 hourly","$4.24 hourly","$6.769 hourly","$4.143 hourly","$9.613000 hourly","$7.054000 hourly","$10.94 hourly","$8.136 hourly","$17.293 hourly","$14.734 hourly","$33.613 hourly","$31.054 hourly","$7.751 hourly","$5.191 hourly","$14.349 hourly","$11.79 hourly","$30.669 hourly","$28.11 hourly","0","unavailable"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$2.752000 hourly","$1.734000 hourly","$2.882 hourly","$1.864 hourly","$2.902 hourly","$1.794 hourly","$5.696000 hourly","$4.678000 hourly","$6.778 hourly","$5.759 hourly","$13.376 hourly","$12.358 hourly","$29.696 hourly","$28.678 hourly","$3.834 hourly","$2.815 hourly","$10.432 hourly","$9.414 hourly","$26.752 hourly","$25.734 hourly","0","unavailable"
"R5A Large","r5a.large","16.0 GiB","0 units","2 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","$0.113000 hourly","$0.071000 hourly","$0.173 hourly","$0.131 hourly","$0.176 hourly","$0.096 hourly","$0.205000 hourly","$0.163000 hourly","$0.273 hourly","$0.231 hourly","$0.685 hourly","$0.643 hourly","unavailable","unavailable","$0.181 hourly","$0.139 hourly","$0.593 hourly","$0.551 hourly","unavailable","unavailable","0","unavailable"
"C3 High-CPU Large","c3.large","3.75 GiB","7 units","2 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","32 GiB               (2 * 16 GiB SSD)","No","No","32/64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","30","3","Yes","No","Yes","No","HVM, PV","No","$0.105000 hourly","$0.073000 hourly","$0.165 hourly","$0.133 hourly","$0.205 hourly","$0.109 hourly","$0.188000 hourly","$0.165000 hourly","$0.271 hourly","$0.192 hourly","$0.561 hourly","$0.406 hourly","unavailable","unavailable","$0.173 hourly","$0.134 hourly","$0.585 hourly","$0.546 hourly","unavailable","unavailable","unavailable","unavailable"
"C6GD Medium","c6gd.medium","2.0 GiB","0 units","1 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","$0.038400 hourly","$0.024200 hourly","$0.0984 hourly","$0.0842 hourly","$0.0694 hourly","$0.0372 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
