"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"T4G Large","t4g.large","8.0 GiB","0 units","2 vCPUs                                                   for a                 7h 12m                 burst","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","3475.0 Mbps","434.37 Mbps","15700.0 IOPS","Yes","36","3","No","Yes","Yes","No","Unknown","No","$0.067200 hourly","$0.042100 hourly","$0.1272 hourly","$0.1021 hourly","$0.1297 hourly","$0.0671 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5N Large","m5n.large","8.0 GiB","0 units","2 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","30","3","No","Yes","Yes","No","Unknown","No","$0.119000 hourly","$0.075000 hourly","$0.179 hourly","$0.135 hourly","unavailable","unavailable","$0.211000 hourly","$0.167000 hourly","$0.279 hourly","$0.235 hourly","$0.691 hourly","$0.647 hourly","unavailable","unavailable","$0.187 hourly","$0.143 hourly","$0.599 hourly","$0.555 hourly","unavailable","unavailable","0","unavailable"
"M5DN Eight Extra Large","m5dn.8xlarge","128.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","1200 GiB               (2 * 600 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","6800.0 Mbps","850.0 Mbps","30000.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","$2.176000 hourly","$1.371000 hourly","$2.306 hourly","$1.501 hourly","unavailable","unavailable","$3.648000 hourly","$2.843000 hourly","$4.189 hourly","$3.384 hourly","$7.488 hourly","$6.683 hourly","$15.648 hourly","$14.843 hourly","$2.717 hourly","$1.912 hourly","$6.016 hourly","$5.211 hourly","$14.176 hourly","$13.371 hourly","0","unavailable"
"General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","16 units","4 vCPUs","1","NVIDIA Tesla K80","12 GiB","3.7","0","4 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 Mbps","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.900000 hourly","$0.614000 hourly","$0.96 hourly","$0.674 hourly","$1 hourly","$0.647 hourly","$1.084000 hourly","$0.798000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.225 hourly"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$2.457600 hourly","$1.548300 hourly","$2.5876 hourly","$1.6783 hourly","$2.6076 hourly","$1.6083 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","0","None","0 GiB","0","0","3.438 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","320 GiB               (2 * 160 GiB SSD)","No","No","64-bit","High","2000.0 Mbps","250.0 Mbps","16000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","$0.840000 hourly","$0.584000 hourly","$0.97 hourly","$0.714 hourly","$0.94 hourly","$0.62 hourly","$1.504000 hourly","$1.317000 hourly","$2.166 hourly","$1.54 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$1.11 hourly","$0.801 hourly","$2.76 hourly","$2.451 hourly","$6.84 hourly","$6.531 hourly","0","$0.210 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","58 units","16 vCPUs","0","None","0 GiB","0","0","3.625 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","18750.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.064000 hourly","$0.672000 hourly","$1.194 hourly","$0.802 hourly","$1.164 hourly","$0.705 hourly","$1.800000 hourly","$1.408000 hourly","$2.082 hourly","$1.69 hourly","$3.72 hourly","$3.328 hourly","$7.8 hourly","$7.408 hourly","$1.3344 hourly","$0.9424 hourly","$2.984 hourly","$2.592 hourly","$7.064 hourly","$6.672 hourly","0","$0.266 hourly"
"R5A Extra Large","r5a.xlarge","32.0 GiB","0 units","4 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.226000 hourly","$0.142000 hourly","$0.286 hourly","$0.202 hourly","$0.351 hourly","$0.192 hourly","$0.410000 hourly","$0.326000 hourly","$0.478 hourly","$0.394 hourly","$0.89 hourly","$0.806 hourly","$1.91 hourly","$1.826 hourly","$0.294 hourly","$0.21 hourly","$0.706 hourly","$0.622 hourly","$1.726 hourly","$1.642 hourly","0","$0.057 hourly"
"M5N Quadruple Extra Large","m5n.4xlarge","64.0 GiB","0 units","16 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","$0.952000 hourly","$0.600000 hourly","$1.082 hourly","$0.73 hourly","unavailable","unavailable","$1.688000 hourly","$1.336000 hourly","$1.958 hourly","$1.606 hourly","$3.608 hourly","$3.256 hourly","$7.688 hourly","$7.336 hourly","$1.222 hourly","$0.87 hourly","$2.872 hourly","$2.52 hourly","$6.952 hourly","$6.6 hourly","0","unavailable"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","31 units","8 vCPUs","0","None","0 GiB","0","0","3.875 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","2000 GiB               HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 Mbps","12000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.468000 hourly","$0.318000 hourly","$0.598 hourly","$0.448 hourly","$0.568 hourly","$0.351 hourly","$0.836000 hourly","$0.686000 hourly","$0.971 hourly","$0.821 hourly","$1.796 hourly","$1.646 hourly","$3.836 hourly","$3.686 hourly","$0.603 hourly","$0.453 hourly","$1.428 hourly","$1.278 hourly","$3.468 hourly","$3.318 hourly","0","$0.117 hourly"
